A;POLJOPRIVREDA, ŠUMARSTVO I RIBARSTVO
01;Biljna i stočarska proizvodnja, lovstvo i uslužne djelatnosti povezane s njima
11;Uzgoj jednogodišnjih usjeva
111;Uzgoj žitarica, osim riže, uzgoj mahunarki i uljanog sjemenja
1110;Uzgoj žitarica, osim riže, uzgoj mahunarki i uljanog sjemenja
112;Uzgoj riže
1120;Uzgoj riže
113;Uzgoj povrća, dinja i lubenica, korjenastog i gomoljastog povrća
1130;Uzgoj povrća, dinja i lubenica, korjenastog i gomoljastog povrća
114;Uzgoj šećerne trske
1140;Uzgoj šećerne trske
115;Uzgoj duhana
1150;Uzgoj duhana
116;Uzgoj predivog bilja
1160;Uzgoj predivog bilja
119;Uzgoj ostalih jednogodišnjih usjeva
1190;Uzgoj ostalih jednogodišnjih usjeva
12;Uzgoj višegodišnjih usjeva
121;Uzgoj grožđa
1210;Uzgoj grožđa
122;Uzgoj tropskog i suptropskog voća
1220;Uzgoj tropskog i suptropskog voća
123;Uzgoj agruma
1230;Uzgoj agruma
124;Uzgoj jezgričavog i koštuničavog voća 
1240;Uzgoj jezgričavog i koštuničavog voća 
125;Uzgoj bobičastog, orašastog i ostalog voća
1250;Uzgoj bobičastog, orašastog i ostalog voća
126;Uzgoj uljanih plodova
1260;Uzgoj uljanih plodova
127;Uzgoj usjeva za pripremanje napitaka
1270;Uzgoj usjeva za pripremanje napitaka
128;Uzgoj začinskog, aromatskog, ljekovitog bilja i bilja za uporabu u farmaciji
1280;Uzgoj začinskog, aromatskog, ljekovitog bilja i bilja za uporabu u farmaciji
129;Uzgoj ostalih višegodišnjih usjeva
1290;Uzgoj ostalih višegodišnjih usjeva
13;Uzgoj sadnog materijala i ukrasnog bilja
130;Uzgoj sadnog materijala i ukrasnog bilja
1300;Uzgoj sadnog materijala i ukrasnog bilja
14;Uzgoj životinja
141;Uzgoj mliječnih goveda
1410;Uzgoj mliječnih goveda
142;Uzgoj ostalih goveda i bivola
1420;Uzgoj ostalih goveda i bivola
143;Uzgoj konja i drugih kopitara
1430;Uzgoj konja i drugih kopitara
144;Uzgoj deva i ljama
1440;Uzgoj deva i ljama
145;Uzgoj ovaca i koza
1451;Uzgoj mliječnih ovaca i koza
1459;Uzgoj ostalih ovaca i koza
146;Uzgoj svinja
1460;Uzgoj svinja
147;Uzgoj peradi
1471;Uzgoj nesilica
1472;Uzgoj brojlera
1479;Uzgoj ostale peradi
148;Uzgoj ostalih životinja
1481;Uzgoj pčela
1489;Uzgoj ostalih životinja, d. n.
15;Mješovita poljoprivreda
150;Mješovita poljoprivreda
1500;Mješovita poljoprivreda
16;Pomoćne djelatnosti u poljoprivredi i djelatnosti koje se obavljaju nakon žetve usjeva
161;Pomoćne djelatnosti za uzgoj usjeva
1610;Pomoćne djelatnosti za uzgoj usjeva
162;Pomoćne djelatnosti za uzgoj životinja
1620;Pomoćne djelatnosti za uzgoj životinja
163;Djelatnosti koje se obavljaju nakon žetve usjeva i dorada sjemena za sjemenski materijal
1630;Djelatnosti koje se obavljaju nakon žetve usjeva i dorada sjemena za sjemenski materijal
17;Lov, stupičarenje i uslužne djelatnosti povezane s njima
170;Lov, stupičarenje i uslužne djelatnosti povezane s njima
1700;Lov, stupičarenje i uslužne djelatnosti povezane s njima
02;Šumarstvo i sječa drva
21;Uzgoj šuma i ostale djelatnosti u šumarstvu povezane s njime
210;Uzgoj šuma i ostale djelatnosti u šumarstvu povezane s njime
2100;Uzgoj šuma i ostale djelatnosti u šumarstvu povezane s njime
22;Sječa drva
220;Sječa drva
2200;Sječa drva
23;Skupljanje samoniklih plodova i proizvoda, osim drva
230;Skupljanje samoniklih plodova i proizvoda, osim drva
2300;Skupljanje samoniklih plodova i proizvoda, osim drva
24;Pomoćne usluge u šumarstvu
240;Pomoćne usluge u šumarstvu
2400;Pomoćne usluge u šumarstvu
03;Ribolov i akvakultura
31;Ribolov
311;Morski ribolov
