0111; Uzgoj žitarica (osim riže), mahunarki i uljanog  sjemenja;
0112; Uzgoj riže;
0113; Uzgoj povrća, dinja i lubenica, korjenastog i gomoljastog povrća;
0114; Uzgoj šećerne trske;
0115; Uzgoj duhana;
0116; Uzgoj predivog bilja ;
0119; Uzgoj ostalih jednogodišnjih usjeva ;
0121; Uzgoj grožđa ;
0122; Uzgoj tropskog i suptropskog voća;
0123; Uzgoj agruma;
0124; Uzgoj  jezgričavog i koštuničavog  voća;
0125; Uzgoj bobičastog, orašastog i ostalog voća ;
0126; Uzgoj uljanih plodova;
0127; Uzgoj usjeva za pripremanje napitaka;
0128; Uzgoj bilja za uporabu u farmaciji, aromatskog, začinskog i ljekovitog bilja  ;
0129; Uzgoj  ostalih višegodišnjih usjeva ;
0130; Uzgoj sadnog materijala i ukrasnog bilja;
0141; Uzgoj muznih krava;
0142; Uzgoj ostalih goveda i bivola;
0143; Uzgoj konja, magaraca, mula i mazgi;
0144; Uzgoj deva i  ljama;
0145; Uzgoj ovaca i koza;
0146; Uzgoj svinja;
0147; Uzgoj peradi;
0149; Uzgoj ostalih životinja;
150; Mješovita proizvodnja;
0161; Pomoćne djelatnosti za uzgoj usjeva;
0162; Pomoćne djelatnosti za uzgoj životinja;
0163; Djelatnosti koje se obavljaju nakon žetve usjeva (priprema usjeva za primarna tržišta);
0164; Dorada sjemena za sjemenski  materijal;
0170; Lov, stupičarenje i uslužne djelatnosti povezane s njima;
0210; Uzgoj šuma i ostale djelatnosti u šumarstvu povezane s njime;
0220; Sječa drva ;
0230; Skupljanje šumskih plodova i proizvoda, osim šumskih sortimenata;
0240; Pomoćne usluge u šumarstvu;
0311; Morski ribolov;
0312; Slatkovodni ribolov;
0321; Morska akvakultura;
0322; Slatkovodna akvakultura;
0510; Vađenje kamenog ugljena;
0520; Vađenje lignita;
0610; Vađenje sirove nafte ;
0620; Vađenje prirodnog plina;
0710; Vađenje željeznih ruda;
0721; Vađenje uranovih i torijevih ruda;
0729; Vađenje ostalih ruda obojenih metala;
0811; Vađenje ukrasnoga kamena i kamena za gradnju, vapnenca, gipsa, krede i škriljevca ;
0812;" Djelatnosti šljunčara i pješčara; vađenje gline i kaolina";
0891; Vađenje minerala za kemikalije i gnojiva;
0892; Vađenje treseta;
0893; Vađenje soli;
0899; Vađenje ostalih ruda i kamena, druge nespomenute;
0910; Pomoćne djelatnosti za vađenje nafte i prirodnog plina;
0990; Pomoćne djelatnosti za ostalo rudarstvo i vađenje;
1011; Prerada i konzerviranje mesa;
1012; Prerada i konzerviranje mesa peradi;
1013; Proizvodnja proizvoda od mesa i mesa peradi;
1020; Prerada i konzerviranje riba, rakova i školjki ;
1031; Prerada i konzerviranje krumpira;
1032; Proizvodnja sokova od voća i povrća;
1039; Ostala prerada i konzerviranje voća i povrća;
1041; Proizvodnja ulja i masti;
1042; Proizvodnja margarina i sličnih jestivih masnoća;
1051; Djelatnosti mljekara i proizvođača sira;
1052; Proizvodnja sladoleda;
1061; Proizvodnja mlinarskih proizvoda;
1062; Proizvodnja škroba i škrobnih proizvoda;
1071; Proizvodnja kruha, svježeg peciva i kolača;
1072; Proizvodnja dvopeka i keksa, trajnog peciva i kolača;
1073; Proizvodnja makarona, njoka, kuskusa i slične tjestenine;
1081; Proizvodnja šećera;
1082; Proizvodnja kakaa, čokolade i šećernih proizvoda;
1083; Proizvodnja čaja i kave;
1084; Proizvodnja začina i drugih dodataka jelima;
1085; Proizvodnja pripremljenih jela i obroka;
1086; Proizvodnja homogeniziranih prehrambenih pripravaka i dijetetske hrane;
1089; Proizvodnja ostalih prehrambenih proizvoda, druge nespomenute ;
1091; Proizvodnja pripremljene stočne hrane;
1092; Proizvodnja pripremljene hrane za kućne ljubimce;
1101; Destiliranje, pročišćavanje i miješanje alkoholnih pića;
1102; Proizvodnja vina od grožđa;
1103; Proizvodnja jabukovače i ostalih voćnih vina;
1104; Proizvodnja ostalih nedestiliranih fermentiranih pića;
1105; Proizvodnja piva;
1106; Proizvodnja slada;
1107; Proizvodnja osvježavajućih napitaka, mineralne vode i ostale flaširane vode;
1200; Proizvodnja duhanskih proizvoda;
1310; Priprema i predenje tekstilnih vlakana;
1320; Tkanje tekstila;
1330; Dovršavanje tekstila;
1391; Proizvodnja pletenih i kukičanih tkanina;
1392; Proizvodnja gotovih tekstilnih proizvoda, osim odjeće;
1393; Proizvodnja tepiha i sagova ;
1394; Proizvodnja užadi, konopaca, upletenoga konca i mreža;
1395; Proizvodnja netkanog tekstila i proizvoda od netkanog tekstila, osim odjeće;
1396; Proizvodnja ostaloga tehničkog i industrijskog tekstila;
1399; Proizvodnja ostalog tekstila, druge nespomenute;
1411; Proizvodnja kožne odjeće;
1412; Proizvodnja radne odjeće ;
1413; Proizvodnja ostale vanjske odjeće;
1414; Proizvodnja rublja;
1419; Proizvodnja ostale odjeće i pribora za odjeću ;
1420; Proizvodnja proizvoda od krzna;
1431; Proizvodnja pletenih i kukičanih čarapa;
1439; Proizvodnja ostale pletene i kukičane odjeće;
1511;" Štavljenje i obrada kože; dorada i bojenje krzna";
1512; Proizvodnja putnih i ručnih torba i slično, sedlarskih i remenarskih proizvoda;
1520; Proizvodnja obuće;
1610; Piljenje i blanjanje drva;
1621; Proizvodnja furnira i ostalih ploča od drva;
1622; Proizvodnja sastavljenog parketa;
1623; Proizvodnja ostale građevne stolarije i elemenata;
1624; Proizvodnja ambalaže od drva;
1629; Proizvodnja ostalih proizvoda od drva, proizvoda od pluta, slame i pletarskih materijala;
1711; Proizvodnja celuloze;
1712; Proizvodnja papira i kartona;
1721; Proizvodnja valovitog papira i kartona te ambalaže od papira i kartona;
1722; Proizvodnja robe za kućanstvo i higijenu te toaletnih potrepština od papira;
1723; Proizvodnja uredskog materijala od papira;
1724; Proizvodnja zidnih tapeta;
1729; Proizvodnja ostalih proizvoda od papira i kartona;
1811; Tiskanje novina;
1812; Ostalo tiskanje ;
1813; Usluge pripreme za tisak i objavljivanje;
1814; Knjigoveške i srodne usluge ;
1820; Umnožavanje snimljenih zapisa;
1910; Proizvodnja proizvoda koksnih peći;
1920; Proizvodnja rafiniranih naftnih proizvoda;
2011; Proizvodnja industrijskih plinova;
2012; Proizvodnja koloranata i pigmenata;
2013; Proizvodnja ostalih anorganskih osnovnih kemikalija;
2014; Proizvodnja ostalih organskih osnovnih kemikalija;
2015; Proizvodnja gnojiva i dušičnih spojeva;
2016; Proizvodnja plastike u primarnim oblicima;
2017; Proizvodnja sintetičkoga kaučuka u primarnim oblicima;
2020; Proizvodnja pesticida i drugih agrokemijskih proizvoda;
2030; Proizvodnja boja, lakova i sličnih premaza, grafičkih boja i kitova;
2041; Proizvodnja sapuna i deterdženata, sredstava za čišćenje i poliranje;
2042; Proizvodnja parfema i toaletno;kozmetičkih preparata
2051; Proizvodnja eksploziva;
2052; Proizvodnja ljepila ;
2053; Proizvodnja eteričnih ulja;
2059; Proizvodnja ostalih kemijskih proizvoda, druge nespomenute ;
2060; Proizvodnja umjetnih vlakana;
2110; Proizvodnja osnovnih farmaceutskih proizvoda;
2120; Proizvodnja farmaceutskih pripravaka;
2211;" Proizvodnja vanjskih i unutrašnjih guma za vozila; protektiranje vanjskih guma";
2219; Proizvodnja ostalih proizvoda od gume;
2221; Proizvodnja ploča, listova, cijevi i profila od plastike;
2222; Proizvodnja ambalaže od plastike;
2223; Proizvodnja proizvoda od plastike za građevinarstvo;
2229; Proizvodnja ostalih proizvoda od plastike;
2311; Proizvodnja ravnog stakla;
2312; Oblikovanje i obrada ravnog stakla;
2313; Proizvodnja šupljeg stakla;
2314; Proizvodnja staklenih vlakana;
2319; Proizvodnja i obrada ostalog stakla uključujući tehničku robu od stakla;
2320; Proizvodnja vatrostalnih proizvoda;
2331; Proizvodnja keramičkih pločica i ploča;
2332; Proizvodnja opeke, crijepa i ostalih proizvoda od pečene gline za građevinarstvo;
2341; Proizvodnja keramičkih proizvoda za kućanstvo i ukrasnih predmeta;
2342; Proizvodnja sanitarne keramike ;
2343; Proizvodnja keramičkih izolatora i izolacijskog pribora;
2344; Proizvodnja ostalih tehničkih proizvoda od keramike;
2349; Proizvodnja ostalih proizvoda od keramike;
2351; Proizvodnja cementa;
2352; Proizvodnja vapna i gipsa ;
2361; Proizvodnja proizvoda od betona za građevinarstvo;
2362; Proizvodnja proizvoda od gipsa za građevinarstvo;
2363; Proizvodnja gotove betonske smjese;
2364; Proizvodnja žbuke;
2365; Proizvodnja fibro;cementa
2369; Proizvodnja ostalih proizvoda od betona, cementa i gipsa ;
2370; Rezanje, oblikovanje i obrada kamena;
2391; Proizvodnja brusnih proizvoda;
2399; Proizvodnja ostalih nemetalnih mineralnih proizvoda, druge nespomenute;
2410; Proizvodnja sirovog željeza, čelika i ferolegura;
2420; Proizvodnja čeličnih cijevi i pribora;
2431; Hladno vučenje šipki;
2432; Hladno valjanje uskih vrpci;
2433; Hladno oblikovanje i profiliranje ;
2434; Hladno vučenje žice;
2441; Proizvodnja plemenitih metala;
2442; Proizvodnja aluminija;
2443; Proizvodnja olova, cinka i kositra;
2444; Proizvodnja bakra;
2445; Proizvodnja ostalih obojenih metala;
2446; Obrada nuklearnoga goriva;
2451; Lijevanje željeza;
2452; Lijevanje čelika;
2453; Lijevanje lakih metala;
2454; Lijevanje ostalih obojenih metala;
2511; Proizvodnja metalnih konstrukcija i njihovih dijelova;
2512; Proizvodnja vrata i prozora od metala;
2521; Proizvodnja radijatora i kotlova za centralno grijanje;
2529; Proizvodnja ostalih metalnih cisterni, rezervoara i sličnih posuda ;
2530; Proizvodnja parnih kotlova, osim kotlova za centralno grijanje toplom vodom;
2540; Proizvodnja oružja i streljiva;
2550;" Kovanje, prešanje, štancanje i valjanje metala; metalurgija praha";
2561; Obrada i prevlačenje metala;
2562; Strojna obrada metala;
2571; Proizvodnja sječiva;
2572; Proizvodnja brava i okova;
2573; Proizvodnja alata;
2591; Proizvodnja čeličnih bačava i sličnih posuda ;
2592; Proizvodnja ambalaže od lakih metala;
2593; Proizvodnja proizvoda od žice, lanaca i opruga;
2594; Proizvodnja zakovica i vijčane robe;
2599; Proizvodnja ostalih gotovih proizvoda od metala, druge nespomenute;
2611; Proizvodnja elektroničkih komponenata ;
2612; Proizvodnja punih elektroničkih ploča;
2620; Proizvodnja računala i periferne opreme;
2630; Proizvodnja komunikacijske opreme;
2640; Proizvodnja elektroničkih uređaja za široku potrošnju;
2651; Proizvodnja instrumenata i aparata za mjerenje,  ispitivanje i navigaciju;
2652; Proizvodnja satova ;
2660; Proizvodnja opreme za zračenje, elektromedicinske i elektroterapeutske opreme;
2670; Proizvodnja optičkih instrumenata i fotografske opreme;
2680; Proizvodnja magnetskih i optičkih medija;
2711; Proizvodnja elektromotora, generatora i transformatora;
2712; Proizvodnja uređaja za distribuciju i kontrolu električne energije;
2720; Proizvodnja baterija i akumulatora;
2731; Proizvodnja kablova od optičkih vlakana;
2732; Proizvodnja ostalih elektroničkih i električnih žica i kablova;
2733; Proizvodnja elektroinstalacijskog materijala;
2740; Proizvodnja električne opreme za rasvjetu;
2751; Proizvodnja električnih aparata za kućanstvo;
2752; Proizvodnja neelektričnih aparata za kućanstvo;
2790; Proizvodnja ostale električne opreme;
2811; Proizvodnja motora i turbina, osim motora za zrakoplove i motorna vozila;
2812; Proizvodnja hidrauličnih pogonskih uređaja;
2813; Proizvodnja ostalih crpki i kompresora;
2814; Proizvodnja ostalih slavina i ventila;
2815; Proizvodnja ležajeva, prijenosnika te prijenosnih i pogonskih elemenata;
2821; Proizvodnja peći i plamenika;
2822; Proizvodnja uređaja za dizanje i prenošenje;
2823; Proizvodnja uredskih strojeva i opreme (osim proizvodnje računala i periferne opreme);
2824; Proizvodnja mehaniziranoga ručnog alata;
2825; Proizvodnja rashladne i ventilacijske opreme, osim za kućanstvo;
2829; Proizvodnja ostalih strojeva za opće namjene, druge nespomenute;
2830; Proizvodnja strojeva za poljoprivredu i šumarstvo;
2841; Proizvodnja strojeva za obradu metala;
2849; Proizvodnja ostalih alatnih strojeva;
2891; Proizvodnja strojeva za metalurgiju;
2892; Proizvodnja strojeva za rudnike, kamenolome i građevinarstvo;
2893; Proizvodnja strojeva za industriju hrane, pića i duhana;
2894; Proizvodnja strojeva za industriju tekstila, odjeće i kože;
2895; Proizvodnja strojeva za industriju papira i kartona;
2896; Proizvodnja strojeva za plastiku i gumu;
2899; Proizvodnja ostalih strojeva za posebne namjene, druge nespomenute;
2910; Proizvodnja motornih vozila;
2920; Proizvodnja karoserija za motorna vozila, prikolica i poluprikolica;
